date,title,content
2022. 8. 1. ,스포주의) 환승연애2 출연진 퇴소 관련 - 인스티즈,"포주의 상대 엑스가 퇴소하면서 같이 하차함이건 그나마 말이 되는 퇴소 이유 같다고 도는 썰, 오피셜×사실이라면 제작진들 이렇게까지 섭외했어야했나 함."
2022. 10. 16,환승연애 X 커플들 사이의 모든 문제점은 캐스팅 과정에서 ..., 시즌 1 때는 보현님이 호민님한테 출연제의 했지만 보현님이 훨씬 더 미련이 많이 남은 상태여서 더 몰입이 됐던 것 같아요 유일무이하게 부른 사람이 더 미련있는 ...
2022. 9. 5. ,"'환승연애2' 출연진, 숙소 위생 상태 논란…""천년의 사랑도 식을 듯""","환승연애2' 출연진이 새로운 논란에 직면했다.기사 전문http://www.topstarnews.net/news/articleView.html?idxno=14720738'환승연애2' 출연진, 숙소 위생 상태 논란…"
2022. 7. 26.,환승연애2 태이 이현 술자리 싸움 - 인스티즈,"아 근데 이거 보면서 느낀 게 남성분이 너무 초등학생 같아요 뒤끝 장난 아닌건지 말 끝마다 알람 끄라고 한 사람~ 이러면서 계속 얘기하고 한 두 번 하고 끝내야지,,, ..."
2022. 9. 1. ,[잡담] 환승연애 사람들 대학 어디여?? - 인스티즈,권 국민대 콘서바토리 라고 다른학교 평생교육원 개념임 모델과 인 거 에타에 올라왔더라 학교 애들이 국민대 라고 하는 거 매우 안좋아함…
2022. 7. 15.,환승연애에서 나긋나긋하게 맞말하는 뱀뱀 - 인스티즈,전애인이랑 같이 연애 프로그램에 나가는 환승연애에서서로의 X(전애인)소개서를 작성해서 말해주는 시간이 있었음 서로 좋은 말만 해주며 읽더라고 그거 보고는 과 ...
2022. 7. 15.,[잡담] 환승연애2 이 언니 벌써 알티 타네ㅋㅋㅋㅋㅋ ... - 인스티즈,"ㅁㅊ 환승연애2에 아기고양이웅니있음 pic.twitter.com/XGo6COb9J3— ..아리 (@focusonstetc) July 15, 2022 우리 나라 여자들 진짜 고양이상 좋아한다."
2022. 8. 1. ,환승연애 예측 틀리자 하차한 쌈디 - 인스티즈,신 정기석씨가 출연.
2022. 9. 9. ,환승연애2 中 남녀 같이 헬스를 할 수 있는가?(많은 ... - 인스티즈,연을 정주행 중이면 약간의 스포가 될 수도 있음!취미가 웨이트인 해은 그리고 국대 희두 둘이 헬스를 같이 가기로 했나봄(방송 보는 여시들은 알겠지만 서로에게 ...
2022. 7. 17.,[잡담] 환승연애2 티저?에 나온 뒷모습 누군가 했더니 | 인스티즈,규민이랑 지수네 규민이가 겉옷을 벗은듯.
2022. 11. 8.,환승연애 보민? 그두분 사겨? - 인스티즈,"댓글보면 민재가 사장님 보현이가 촬영자 및 편집자 이렇다는데 나는 너무 유교걸인가보다.,.,. 첫 눈 오는 날,크리스마스를 같이 보내다니.,.! 10개월 전."
2022. 10. 10,[환승연애2] 헐ㅋ 현규 데이트 상대 이름 태이가ㅋ - 인스티즈, 한줄 요약 : 남메기(현규) 가 해은 이름 맞는지 물어보려고 제작진한테 문자 보냈는데 바로 답 안 와서 태이한테 물어봐서 확인함그리고 그때 답장 와서 이중확인하고 ...
2022. 7. 29.,[잡담] 환승연애 쌈디 하차 약속 지켰네.... - 인스티즈,"쌈디 태이현 X 예상 틀리고 환연 하차한댔다가 5화부터 정기석으로 출연함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ pic.twitter.com/3fSCdOab72— kliP (@chmxziu) July 29, ..."
2022. 7. 16.,근데 나만 환승연애 섭외 어케하는건지 너무 궁금하냐 - 인스티즈,"본적은 없는데 포맷 대강 듣고 섭외과정이 너모 궁금해짐 ,,,,, 막 지원자들이 전여친전남친한테 연락해서 야여기나가볼래 이러는거임?…."
2022. 7. 21.,환승연애 출연료 회당 천만원이래 - 인스티즈,연애중짝썸결혼곰신이별기타 ... 환연은 구남친 까야되는거라 다른 연애프로보다 더 줘야될것같긴함 4개월 전 ... 환승연애 목표로 사겼다가 헤어질 사람 구하기 ㅇㅇ
