,title,content
0,남출한테 유사쳐먹고 여출만 가지고 조리돌림 하더니, 오함마로 대가리 깨는건 언제나 그 남성이긔 
1,마지막선택때도 남출줌들 여출 존나게 팼는데, 팰준비 항상 장전중 
2,여출언냐가 그남출 만난다고 티낸적도 없는데, 남출이 안만난다고 티낸다는 논리는 뭐긔  
3,정남김 정정해준거 부터 그남출은, 눈팅도 많이하고 티내려고 드릉드릉중여출이 간당간당함 
4,남출 진짜 대답해줄거같아 진짜 물어봐, 찐으로 해줄거같음 
5,남출이 혼자 여자출연자 만났으면, 존나 까였을껄 ㅋㅋㅋㅋㅋ  
6,남출은 무시하고 원빈이는 차단한것까지 그냥  , 누가봐도 남출은 존나 자주 본 정병이라 무시한거고 원빈이는 인스타 개설하고 처음 맛보는 안현커 정병이라 차단한것까지 찐이긔   
7,남출이 직찍올리지 말라는게 여출보호아니라, 자기보호였네  
8,지인썰마다 잘만나고 남출이 더 좋아한다는 썰만 나오니, 점점 냉글 돌아버리나봄 해까년들 
9,근데 그남출이랑 규민이랑 차이점 , 규민은 왕복 시간 매주면회를 해은이가 노력했다고 표현했고 남출은 수능준비하느라 제대로된데이트못해서 나언이 희생하는게 보였다고 말함진짜 희생은   초반 한창놀나이에 매주왕복면회가고 군대기다려준 여출아니냐고 ㅋㅋㅋㅋㅋ 부모님도 저렇게는 헌신못할듯    걍 군대기다려주면 안됨                  
10,이제 남출 이용하노 역줌들ㅋㅋ, 꺼지시긔 
11,아니 시발 빵표녀인데 남출들이랑 케미 ㅇㅈㄹ 왜하는거긔, 최커 됐으면 그 남출이랑만 빠는게 맞는거 아니긔  끝난지가 몇준데 아직도 남출들 다 데리고 케미 좋다 아쉽다 그 온냐가 꼬셨으면 넘어갔다 ㅇㅈㄹ 왜하는거긔  그온냐가 철벽쳐서 안넘어갔다고요 ㅋㅋㅋㅋㅋ그냥 처음 온날부터 그언냐한테 아무도 관심없었긔 끝난 썸프로 빵표녀한테 저정도로 남출 들이대는것도 역대급이긔 현규가지고 나언이 사진이랑 나연이 하키때 사진 올리면서 계속 케미 좋다 ㅇㅈㄹ해도 그줌들 이해가능한거긔 ㅋㅋ현구가 성에 안차서 저러긔  대체 아직도 남출 못놓는 이유가 머긔 ㅅㅂ  
12,여출은 몰라도 남출은 바로 합격소식 보낼거같긔, 그놈이 그놈일거같긔                    
13,온냐빠는 남출 사랑하긔 고기플 봤으면 알꺼긔, 행복충 사랑하긔                  
14,해은웅니 티파니앤코 목걸이 그남출이 준거맞는거 같긔, 전여친이 티파니앤코 선물 사진 지웠다니까 그런거같긔윤나언긩도 티파니앤코 있을까 
15,오늘 보니 안다즈때도 남출 혼자 있던거네, ㅋㅋㅋㅋ  
16,나연이랑 민영이가 남출 단둘이 만나는거 본적 있음 , 해은이 남친도 있는데 왜 그러는거야 이해가 안가네 진짜 
17,샴페인 인스스는 남출이 올리고 오늘 얼굴 보인건 남출인데, 여출이 쳐맞는 매직 
