,date,tweet
0,2022-07-15 ~ 2022-07-16,"환승연애2 x커플 모르겠고 이현나연 케미뢰전드.. 
심지어 저웅니들 둘이 룸메임"
1,2022-07-15 ~ 2022-07-16,환승연애 최이현 여친짤 재질 미쳤음.. 아름다우셔
2,2022-07-15 ~ 2022-07-16,환승연애 첫선택 #menow
3,2022-07-15 ~ 2022-07-16,환승연애2 최이현 조승우 썰ㅋㅋ
4,2022-07-15 ~ 2022-07-16,"환승연애2

해가될까 

#조승연 #WOODZ"
5,2022-07-15 ~ 2022-07-16,미친 승식이 환승연애2 ost .ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ
6,2022-07-15 ~ 2022-07-16,"환승연애 2 여출들 나이
지연 00 나연 96 지수 97 이현 94"
7,2022-07-15 ~ 2022-07-16,"환승연애2
태이이현
둘이 엑스 아니면 나 이용진처럼 인간불신 생길듯"
8,2022-07-15 ~ 2022-07-16,"하 너무킹받아
나오늘 환승연애봐야돼서
팬싸안간건데 중요한선약이라"
9,2022-07-15 ~ 2022-07-16,"도뤁
환승연애"
10,2022-07-15 ~ 2022-07-16,환승연애2 브금으로 하나둘세고 나와용!!
11,2022-07-15 ~ 2022-07-16,"환승연애2 ost 
WHAT IF - 강승식 (빅톤) "
12,2022-07-15 ~ 2022-07-16,미친 승식이 환승연애2 ost .ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ
13,2022-07-15 ~ 2022-07-16,"환승연애2 인스타

김태이 taeikeem
최이현 yvesox
이나연 inayommi
이지연 jjjohnnyeey

나머지 모룸"
14,2022-07-15 ~ 2022-07-16,환승연애에 나오는 지수 엔믹스 해원 닮음
15,2022-07-15 ~ 2022-07-16,이게남의연애야환승연애야메리퀴어야
16,2022-07-15 ~ 2022-07-16,환승연애2 태이현 부분 너무 웃겨
17,2022-07-15 ~ 2022-07-16,환승연애 1화 명대사 : 안되겠다 나 지수씨 뽑아야겠다
18,2022-07-15 ~ 2022-07-16,"220715 [longlivesmdc’s IG]

환승연애2

 https://instagram.com/p/CgCdOGbvVIM/?igshid=YmMyMTA2M2Y=…
#BamBam   #뱀뱀    
@BamBam1A @BAMBAMxABYSS"
19,2022-07-15 ~ 2022-07-16,환승연애2 후기
20,2022-07-15 ~ 2022-07-16,"환승연애 강제로 시청 중인데
이 사람 존나 권모술수 닮음"
21,2022-07-15 ~ 2022-07-16,"환승연애2 출연자 mbti

최이현 entp 이나연 esfp 김지수 enfp 이지연 estp
정규민 entj 박원빈 enfj 선민기 intp 김태이 intj

여덟명 싹다 다른게 ㄹㅈㄷ"
22,2022-07-15 ~ 2022-07-16,"아 지금 나 뭔가 오해를 지리게 했었나봄

드덕들이 환혼 보는거 쪽팔려서 환연이라고 하는줄 알았는데 

환승연애였음"
23,2022-07-15 ~ 2022-07-16,"디피,스우파,오겜,트레저맵,환승연애,지우학,슬의생,그해우리는,2521,우영우 등등 중에 유행탑승한거
스우파,트레저맵,우영우 뿐임
추가적으로믹스앤매치,윈도봤음."
24,2022-07-15 ~ 2022-07-16,환승연애2 그 무엇보다 공통점 가진 출연자 나올때마다 저 포즈하며 좋아하는 쌈디유라가 너무 웃기다 ㅜㅜ 저 포즈 나올때마다 박박웃고있음
25,2022-07-15 ~ 2022-07-16,"아니 환승연애 지수 셀카는 더더더 엔믹스 해원 같네
왼쪽이 지수 오른쪽이 해원"
26,2022-07-15 ~ 2022-07-16,환승연애에 나오는 지수 엔믹스 해원 닮음
27,2022-07-15 ~ 2022-07-16,"아무도 시키지 않았지만 저 후보라면 내 pick은

이상청 임시완 김고은 남조는 후보에 조현철을 넣은 후 조현철을 꼽고 싶고 김신록 구교환 한소희

환승연애 이용진 이효리 남신은 잘 몰라서 패스 주현영"
28,2022-07-15 ~ 2022-07-16,"환승연애 출연진 이름에 
쌈디가아니고 ""사이먼도미닉"" 
ㅅㅂ왤케웃기지"
29,2022-07-15 ~ 2022-07-16,시작됐다 환승연애...
30,2022-07-15 ~ 2022-07-16,"오로지 환승연애1화에서만느낄수잇는개꿀잼포인트 = 구컾누군지추리하기
다른연애프로는못해... 
환승연애7화에서도못해...
근데환승연애1화는그걸해 그걸할줄아는연애프로야"
31,2022-07-15 ~ 2022-07-16,"220715 [longlivesmdc's IG]

환승연애2
https://instagram.com/p/CgCdOGbvVIM/?igshid=YmMyMTA2M2Y=…

BamBam Romance Transfer
#환승연애2_뱀뱀
#BamBam #뱀뱀 #GOT7
@BamBam1A @BAMBAMxABYSS"
32,2022-07-15 ~ 2022-07-16,"환승연애2 재미없다...
원빈지수 완전 호민보현아님? 태이이현이 왠지 x 일듯 완전 잘어울려... 쌈디는 대체 왜 벌써부터 눈물 고이는 거임? 다들 환승하지말고 재결합해!!!!!!!!!
ㄴ재미있어 보이는구만..."
33,2022-07-15 ~ 2022-07-16,[환승연애2] 저는 항상 한결같은 동혃이가 좋았어요.
34,2022-07-15 ~ 2022-07-16,돈 벌려면 솔로지옥 비밀남녀 환승연애 결혼과이혼사이 우리이혼했어요 우리재혼했어요(이쯤되면 나왔을듯) 금쪽상담소 루트 타면 되겠당 ㅋㅋ
35,2022-07-15 ~ 2022-07-16,"그런 리얼리티 프로그램이
못 받아도 700부터 시작 한데요."
36,2022-07-15 ~ 2022-07-16,하... 이거 다보고 환승연애 보려고 했는데 끝난 연애 봐서 뭐하묘... 내 눈앞에 캠게가 있는데
37,2022-07-15 ~ 2022-07-16," BamBam Romance Transfer
 환승연애2_뱀뱀

Morning15 BAMBAM 
#WheelsUp #SlowMo #WhoAreYou #BamBam  @BamBam1A @BAMBAMxABYSS #GOT7   @GOT7"
38,2022-07-15 ~ 2022-07-16,"환승 연애 효션..
이챵 진짜 머리 벅벅벅 문지르면서 두 시간 넘게 고민하다가 자기가 너무 사랑했던 효의 기억속 다정을 꺼내서.. 
그때처럼 자상하게 대해 줘서 고맙다고 보낸 건데 (약간.. 미련을 정리하는 느낌) 먀진이가 웃는 모습 보니까 좋다고 다시 마음을 줘 버림.. 이챵 또 잠 못 잘 듯"
39,2022-07-15 ~ 2022-07-16," BamBam Romance Transfer
 환승연애2_뱀뱀

Morning15 BAMBAM 
#WheelsUp #SlowMo #WhoAreYou #BamBam  @BamBam1A @BAMBAMxABYSS #GOT7   @GOT7"
40,2022-07-15 ~ 2022-07-16,"환승 연애 효션..
이챵 진짜 머리 벅벅벅 문지르면서 두 시간 넘게 고민하다가 자기가 너무 사랑했던 효의 기억속 다정을 꺼내서.. 
그때처럼 자상하게 대해 줘서 고맙다고 보낸 건데 (약간.. 미련을 정리하는 느낌) 먀진이가 웃는 모습 보니까 좋다고 다시 마음을 줘 버림.. 이챵 또 잠 못 잘 듯"
41,2022-07-15 ~ 2022-07-16,정규민씨 환승연애말고 다른거 찍고 계시는거 같은데
42,2022-07-15 ~ 2022-07-16,"환승연애찍다 북받쳐서얼굴가리고
나지금너무감정적인거같아… 하는 kth
그앞에서 가만쳐다보다가
우리가여기있는이유가 감정아니면뭔데 하는 jjk"
43,2022-07-15 ~ 2022-07-16,내가 만약 환승연애 잊맠이 보고싶어
44,2022-07-15 ~ 2022-07-16,"제가환승연애를안봐서잘모르는데
방송에선선택안하고
뒤에서몰래만나도되나요?
걍재결합하자고 샹.,.."
45,2022-07-15 ~ 2022-07-16,티빙 환승연애2에 규현이 '너의 별에 닿을때까지' 2분가량 브금으로 깔림!! 넘 찰떡
46,2022-07-15 ~ 2022-07-16,"다들 환승연애 보는데 나만 안봄..
다들 x어쩌구 하는데 나만 뭔말인지 모름..
그냥 트친들이 수학공식 말하는거같아요"
47,2022-07-15 ~ 2022-07-16,"환승연애무슨재미로보냐면..
분위기좃창나는재미로봐요..
보통일반인출연진들좀젠체하거나예의차리거나홍보하러나와서연예인지망생으로보이는데여긴애초에진짜망한관계기땜에억지스러움이덜하고분위기진짜심각함..
나중에환승결혼나오면대박이겠다이혼부부들이환승하면..진짜그곳이ntr결혼클리닉아닐까"
48,2022-07-15 ~ 2022-07-16,"살면서 본적없는거
우결 하트시그널 환승연애 솔로지옥"
49,2022-07-15 ~ 2022-07-16,"환승연애에 보이콜드 이번 정규앨범 신곡 
9번 트랙 FINE 나오면 찰떡일 듯!!"
50,2022-07-15 ~ 2022-07-16,"[FLO]
해가 될까-WOODZ (조승연)
http://flomuz.io/s/b.Eov91
환승연애… 시작합니다"
51,2022-07-15 ~ 2022-07-16,최애랑 우리결혼했어요 나가기 vs 환승연애 나가기 vs 우리이혼했어요 나가기 vs 하트시그널 나가기
52,2022-07-15 ~ 2022-07-16,"환승연애2 커플 예상

나연 민기
지연 원빈
태이 이현
규민 지수

120퍼"
53,2022-07-15 ~ 2022-07-16,"รอดูรายการแล้ววววววววววว ~

#SlowMo #BamBam @BamBam1A
@BAMBAMxABYSS 

이용진, 역대급 교차 편집에 “이렇게까지 하는 이유 뭐냐” 분통(환승연애2) (출처 : 뉴스엔 | 네이버 TV연예) https://naver.me/xDMQEDws"
54,2022-07-15 ~ 2022-07-16,"이용진, 역대급 교차 편집에 “이렇게까지 하는 이유 뭐냐” 분통(환승연애2) (출처 : 뉴스엔 | 네이버 TV연예) https://naver.me/xDMQEDwsBAMBAM​ 
@BamBam1A​ #BamBam  #WheelsUp​ #SlowMo​ #WhoAreYou"
55,2022-07-15 ~ 2022-07-16,"환승연애

재툥: 가능성잇음.. 맛잇음..
         둘다 미남에 옷 잘입어서 커뮤 난리남
도툥: 여기도 가능성잇음....
         둘다 너무 서로 전남친인거 티나서
         시청자들 얘들 왜 사겻는지,
         왜 헤어졋는지 다 알게됨
동툥: 개갓이 멸망。
         헤어지면 다시안보는 커플 1위"
