,아이디,댓글 내용
0,  선미,환연2가 이렇게 인기가 많을수 있었던 이유는 오직 출연진들의 솔직함 덕분이라고 생각함 방송이라 보여지는 것에 조심할수도 있었음에도 솔직하게 다 표현해준것에 너무 감사했어요 다 잘되라
1,  개동이,다시 못올 20대의 찬란함을 함께한 사이..  이 프로가 서로에게  멋진 마지막 페이지가 되어준것 같아요.  3자로서 지켜본 저도  너무 아련하고 아프네요.
2,  네 네,진짜 7년을 정리하고 접는 시간을 제대로 가짐....한 커플의 끝을 이렇게까지 적나라하게 볼 수는 없었음...처절함과...비애와...걍 뭐라 말할 수 없는 감정의 폭포 진짜 둘 이야기로 책 써도 되겠다
3,  하이,진짜 사랑은 타이밍이라는걸 또 한 번 느끼게 해준 커플
4,  서윤,미안하다고 이야기하고 정말 진심을 이야기하는 규민이 말을 듣자마자 참았던 눈물이 났다 진짜
5,  ColdZero,20화는 결국 규민이의 깊은마음을 다보여준 화 .. 진짜 멋있다
6,  지민창,규민도 해은도 너무 수고했다 진짜..
7,  뎡,원래 규민은 다정한 사람이였구나 말투가 너무 다정해..
8,  ylyn Jj,7년이라는 긴 시간을 정리하기엔 너무나 짧은 기간이었지만 서로 주고받는 대화방식과 톤만 봐도 만나는 동안 얼마나 서로 사랑하고 존중하는 시간이었는지 어렴풋이나마 알 것 같아서 참 단단한 사이었구나 생각이 들었음ㅠㅠ규민이 현규라는 선물을 준 것 같아서 고맙다가도 마지막에는 정리를 잘한 듯 해서 둘 다 응원하고 싶다..
9,  NANA,영상 보면서 너무 울어서ㅋㅋ 눈물 좀 그칠려고 댓글 켰다가 오히려 눈물 두배로 흘림.. 진짜 다들 어떻게 그렇게 말을 잘하세요ㅠㅠ하 규민이랑 해은 둘 다 너무 좋은 사람 같아서 어떤 방식으로든 항상 행복했음 좋겠다..
10,  낭낭,서사가 너무 완벽해...그동안 방송에 안 나왔던 것 뿐이지 규민이 그동안 인터뷰 내용 모아 나온 거 보면 다 이유가 있었고 사람들이 욕했던 것만큼이나 이미 스스로 자책도 했고 후회도 하고... ㅜㅜ 규민해은 때문에 환연2 성공햇다...
11,  Na Hyun,둘다 너무 어른스러운 사람이다..다시는 못만날 첫사랑을 겪었다는건 나이가 들어서도 진짜 가슴속에 묻고 사는거겠지둘다 응원하고 싶다 정말 행복해
12,  st아일랜드,자기 감정에 이렇게 용기있게 표현할 수 있는 해은이가 결국 차갑디차갑던 규민의 마음속 말들을 끄집어 내는구나아...어린날의 첫사랑을 떠나보내는 둘의 대화가 너무 아름답다ㅠㅠ
13,  쫀도기,그럼 나 처음받는 거였는데 하는 순간 내 심장까지 진짜 지하로 떨어지는 느낌이었는데 저 말을 직접 들은 규민은 얼마나 더 마음 아팠을까…
14,  Vx,아 근데 해은 우는 모습도 너무 예쁘다
15,  해피제이,지났으니 다 괜찮다는 해은인 정말 천사다이런 이쁘고 아름다운 사람이라니 꼭꼭 현규와 오래오래 사랑하길
16,  DK,해은이 엉엉 울 때..힘들었던 거 다 털고 일어나는 과정이어서 응원하면서 지켜봤다.. 그리고 규민과 해은이 마지막으로 서로 미소 지으며 보내주는게 한편으론 아리면서 또 아름다웠다..규민 해은 둘 다 행복하자!!!
17,  은비얌,"9:30 이때 딱 감정 고조 되는 거 미쳤다… 나도 모르게 감정이입 됐음,,"
18,  사화,규민이 진짜 대단하다 세월이 지나도 저렇게 옛사람 사진을 못지우는게 어떤 마음인지... 너무 멋지고 슬프다 ㅜㅜ
19,  나와 너너와 나,규민은 이미 해은이 목걸이 안차고 온걸 본 순간. 아 결정했구나 하고 차안에서 그동안의 솔직한 감정과 미안한 감정을 표현한 듯. 그리고 마음을 다 털고 훨훨 날아가라고..
20,  gitae Cookiemonster,"규민이가 평창에서의 자신의 행동들을 사과하고, 해은이 마음 풀어주고 끝내서 너무 다행이에요.. 왜 저 사과에 저도 마음이 같이 풀리고 눈물이 막 나는지 ㅠㅠㅠㅠㅠ 사과해줘서 고맙고 다음 사람에게 갈 수 있도록 잘 보내줘서 더 고맙네요. 둘 다 참 성숙한 사람인것 같아요. 해은이도 규민이도 7년의 마무리를 지은 것 같아서 다행이에요.. 둘 다 너무 멋진 사람.. 진심으로 응원합니다"
21,  이수빈,규민이가 왜 인기있었는지 알 것 같다. 속이 깊네
22,  sh j,둘은 진짜 건강한 연애의 표본이다. 예쁘게 잘 사귀었고 마음아프지만 헤어질때도 예쁘게 떠나네. 두분다 행복하시길...
23,  Y Y,0:13 해은이 보면서 화법을 많이 배움.. 나였음 뭐가 힘들었냐 바로 물었을텐데 '어떤게 힘들었는지 궁금하기도 해'라니.. 상대의 힘든 점을 직접적으로 묻지않고 부담 갖지 말고 말하고 싶음 말해달라 얘기하는 것 같아서 너무 따뜻함
24,  솜이,저 상황에서 담담하게 말하는 규민이가 너무 좋다..
25,  m,이 프로그램을 통해 한 커플의 마지막 페이지를 장식할 수 있어서 좋았던 것 같다....7년이라는 시간이 엄청 크기에 서로에게 엄청 큰 사람이었을텐데....정말 너무 마음이 아프다..해은은 현규 만나서 행복한 연애했으면 좋겠고규민도 얼른 좋은 사람 만나서 행복했으면 좋겠다
26,  나현 김,마지막 화를 통해서 규민의 행동을 이해할 수 있었어요 아무한테도 상처 주고 싶지 않아 결국 본인 감정을 외면한거 같네요 두분다 마지막에 감정을 털어놓으며 서로 감정을 정리하는 장면에서는 성숙하다고 느끼게 되었습니다 정말 두분다 멋지신 분들이네요 앞날에 좋은 일만 가득하시길
27,  Fmdbak,미련이 남는데 보내주는 규민이.. 정말 대단하다.. 이런게 어른이구나 ㅠ 해은이 잊으라고 그렇게 모질게 하면서 욕먹고.. 얼마나 배려가 큰 사람이냐ㅠㅠ 이기적인 사람이었으면 전국민한테 착한척 할수도 있는거였는데 해은이를 정말 많이 사랑했고..그런 규민이를 알기에 해은이는 계속 포기 못한거 같다ㅠㅠ 나도 비슷한 연애를 했고 이별했다가 결국 결혼했는데 ㅠ 오래만난 예쁜 추억.. 버리지 않고 그대로 가져가면서 그동안 못해쥰 사랑 듬뿍 주면서 사랑했으면 좋겠다.. 먼 훗날 언젠가라도 ㅠㅠ
